"UNIQUE_ID","Occupation_42","ACT","DEGREE","insee_code","SEX","CURRENT_AGE","Familty_type","is_student","target"
48,"csp_7_8","act2-1","DIPL12","01024","Female",66,"TYPEM1|2",FALSE,75.619
49,"csp_5_4","act1-1","DIPL14","01024","Female",47,"TYPEM4|1",FALSE,58.4764
51,"csp_2_1","act1-1","DIPL13","01025","Male",44,"TYPEM4|1",FALSE,52.4378
54,"csp_7_1","act2-1","DIPL13","01025","Male",73,"TYPEM4|4",FALSE,60.0399
55,"csp_7_8","act2-1","DIPL11","01026","Female",78,"TYPEM1|2",FALSE,70.8096
57,"csp_7_7","act2-1","DIPL13","01026","Female",78,"TYPEM4|4",FALSE,68.3736
58,"csp_7_8","act2-1","DIPL3","01026","Male",74,"TYPEM4|4",FALSE,62.6734
59,"csp_6_5","act1-1","DIPL16","01026","Female",42,"TYPEM1|2",FALSE,51.9357
60,"csp_6_5","act1-1","DIPL13","01027","Male",24,"TYPEM4|2",FALSE,28.9236
61,"csp_7_8","act2-1","DIPL3","01027","Female",92,"TYPEM4|4",FALSE,73.0314
64,"csp_4_6","act1-1","DIPL18","01027","Female",34,"TYPEM4|1",FALSE,52.6731
65,"csp_4_3","act1-1","DIPL13","01028","Female",47,"TYPEM4|4",FALSE,51.9159
66,"csp_1_3","act1-1","DIPL16","01028","Female",51,"TYPEM4|1",FALSE,61.3639
68,"csp_7_7","act2-1","DIPL13","01031","Male",63,"TYPEM1|1",FALSE,57.8815
69,"csp_4_2","act1-1","DIPL17","01031","Male",34,"TYPEM4|1",FALSE,43.044
71,"csp_4_7","act1-1","DIPL13","01031","Male",56,"TYPEM4|1",FALSE,55.7239
72,"csp_4_7","act1-1","DIPL14","01031","Male",23,"TYPEM4|1",FALSE,43.6631
74,"csp_5_6","act1-1","DIPL13","01032","Female",60,"TYPEM4|3",FALSE,62.1805
75,"csp_4_3","act1-1","DIPL17","01032","Female",56,"TYPEM4|1",FALSE,62.5299
77,"csp_7_7","act2-1","DIPL11","01033","Male",89,"TYPEM4|1",FALSE,61.2705
79,"csp_8_4","act2-2","DIPL18","01033","Male",25,"TYPEM1|1",TRUE,44.3559
81,"csp_4_6","act1-1","DIPL16","01033","Female",48,"TYPEM3|2",FALSE,38.725
82,"csp_6_7","act1-1","DIPL13","01033","Male",22,"TYPEM4|1",FALSE,33.2688
83,"csp_4_3","act1-1","DIPL16","01033","Female",49,"TYPEM4|1",FALSE,57.8512
84,"csp_4_3","act1-1","DIPL17","01033","Female",31,"TYPEM4|1",FALSE,55.606
85,"csp_2_1","act1-1","DIPL13","01033","Male",44,"TYPEM4|1",FALSE,51.7813
90,"csp_4_2","act1-1","DIPL15","01033","Male",36,"TYPEM4|1",FALSE,47.7867
91,"csp_4_7","act1-1","DIPL13","01033","Male",60,"TYPEM4|2",FALSE,49.3508
92,"csp_7_1","act2-1","DIPL13","01033","Male",70,"TYPEM4|3",FALSE,55.9816
93,"csp_7_2","act2-1","DIPL13","01034","Male",73,"TYPEM3|1",FALSE,55.5865
95,"csp_2_3","act1-1","DIPL13","01034","Male",33,"TYPEM4|1",FALSE,42.6228
96,"csp_7_7","act2-1","DIPL13","01034","Female",68,"TYPEM1|2",FALSE,74.4272
99,"csp_7_5","act2-1","DIPL13","01034","Male",79,"TYPEM4|4",FALSE,67.0824
103,"csp_4_6","act1-1","DIPL16","01034","Female",57,"TYPEM4|1",FALSE,61.4223
104,"csp_8_5","act2-4","DIPL2","01034","Female",46,"TYPEM4|4",FALSE,78.7001
105,"csp_4_3","act1-1","DIPL17","01034","Female",57,"TYPEM4|3",FALSE,66.1567
107,"csp_5_5","act1-1","DIPL13","01034","Female",56,"TYPEM4|1",FALSE,68.8003
108,"csp_8_5","act2-5","DIPL11","01034","Female",17,"TYPEM4|1",TRUE,61.4771
109,"csp_7_7","act2-1","DIPL11","01034","Female",80,"TYPEM1|2",FALSE,76.3386
113,"csp_7_4","act2-1","DIPL17","01034","Male",72,"TYPEM4|4",FALSE,65.7028
114,"csp_7_4","act2-1","DIPL18","01034","Male",69,"TYPEM1|1",FALSE,68.6842
115,"csp_8_5","act2-5","DIPL13","01037","Female",62,"TYPEM1|2",FALSE,69.0736
124,"csp_5_2","act1-1","DIPL17","01049","Female",47,"TYPEM4|1",FALSE,59.8925
125,"csp_6_3","act1-2","DIPL13","01049","Male",54,"TYPEM4|3",FALSE,49.6299
128,"csp_7_7","act2-1","DIPL13","01050","Female",81,"TYPEM1|2",FALSE,74.61
131,"csp_5_4","act1-1","DIPL13","01053","Female",33,"TYPEM4|1",FALSE,54.7996
132,"csp_4_2","act1-1","DIPL16","01053","Female",66,"TYPEM3|2",FALSE,54.5301
133,"csp_8_4","act2-2","DIPL14","01053","Female",18,"TYPEM4|2",TRUE,49.5535
135,"csp_7_8","act2-1","DIPL11","01053","Female",83,"TYPEM1|2",FALSE,75.1883
138,"csp_5_6","act1-1","DIPL2","01053","Male",44,"TYPEM3|1",FALSE,49.8126
144,"csp_7_7","act2-1","DIPL12","01053","Female",91,"TYPEM1|2",FALSE,79.8336
145,"csp_8_4","act2-2","DIPL15","01053","Male",20,"TYPEM4|1",TRUE,43.8196
146,"csp_5_5","act1-1","DIPL18","01053","Female",29,"TYPEM4|3",FALSE,45.1241
150,"csp_4_7","act1-1","DIPL18","01053","Female",50,"TYPEM1|2",FALSE,60.5304
152,"csp_2_1","act1-1","DIPL2","01053","Male",61,"TYPEM4|2",FALSE,50.6792
155,"csp_8_4","act2-2","DIPL14","01053","Male",20,"TYPEM4|4",TRUE,43.756
156,"csp_2_1","act1-1","DIPL14","01053","Male",58,"TYPEM4|1",FALSE,58.2233
157,"csp_7_8","act2-1","DIPL3","01053","Male",71,"TYPEM4|4",FALSE,61.8153
158,"csp_6_7","act1-1","DIPL15","01053","Male",45,"TYPEM1|1",FALSE,36.2469
161,"csp_8_4","act2-2","DIPL3","01053","Female",15,"TYPEM4|1",TRUE,52.5599
162,"csp_6_8","act1-1","DIPL12","01053","Male",18,"TYPEM4|1",FALSE,31.5955
164,"csp_4_7","act1-1","DIPL15","01053","Male",44,"TYPEM4|1",FALSE,51.1749
165,"csp_7_1","act2-1","DIPL3","01053","Female",81,"TYPEM3|2",FALSE,75.3844
169,"csp_3_8","act1-1","DIPL18","01053","Male",44,"TYPEM4|2",FALSE,39.9646
170,"csp_7_7","act2-1","DIPL13","01053","Female",73,"TYPEM4|1",FALSE,70.9887
177,"csp_7_7","act2-1","DIPL12","01053","Female",75,"TYPEM4|4",FALSE,75.1448
180,"csp_6_4","act1-1","DIPL13","01053","Female",69,"TYPEM4|3",FALSE,60.7865
181,"csp_6_2","act1-2","DIPL15","01053","Male",23,"TYPEM4|1",FALSE,39.6844
183,"csp_5_5","act1-1","DIPL3","01053","Male",48,"TYPEM4|1",FALSE,46.714
185,"csp_7_5","act2-1","DIPL11","01053","Male",79,"TYPEM4|4",FALSE,62.8941
187,"csp_5_4","act1-1","DIPL16","01053","Female",47,"TYPEM4|3",FALSE,39.033
188,"csp_6_3","act1-1","DIPL13","01053","Male",47,"TYPEM4|1",FALSE,47.2494
189,"csp_6_2","act1-1","DIPL13","01053","Male",43,"TYPEM4|1",FALSE,38.6447
190,"csp_5_6","act1-1","DIPL13","01053","Female",33,"TYPEM4|1",FALSE,53.95
192,"csp_3_8","act1-1","DIPL16","01053","Male",48,"TYPEM1|1",FALSE,46.6503
193,"csp_6_3","act1-2","DIPL13","01053","Male",62,"TYPEM4|3",FALSE,49.5273
194,"csp_4_2","act1-1","DIPL17","01053","Female",41,"TYPEM4|1",FALSE,50.178
201,"csp_4_2","act1-1","DIPL14","01060","Female",54,"TYPEM4|1",FALSE,56.4702
203,"csp_7_5","act2-1","DIPL13","01062","Female",63,"TYPEM4|4",FALSE,66.6396
204,"csp_6_8","act1-1","DIPL15","01063","Male",49,"TYPEM4|1",FALSE,40.2252
206,"csp_4_6","act1-1","DIPL14","01064","Female",57,"TYPEM4|1",FALSE,53.7632
207,"csp_7_7","act2-1","DIPL12","01065","Female",69,"TYPEM4|4",FALSE,71.9658
211,"csp_7_7","act2-1","DIPL12","01065","Female",78,"TYPEM1|2",FALSE,77.3343
213,"csp_8_5","act2-4","DIPL11","01067","Female",61,"TYPEM4|2",FALSE,68.6304
215,"csp_7_7","act2-1","DIPL13","01068","Male",71,"TYPEM1|1",FALSE,60.4582
217,"csp_8_5","act2-2","DIPL3","01068","Female",15,"TYPEM3|2",TRUE,49.2062
218,"csp_4_2","act1-1","DIPL17","01069","Female",41,"TYPEM4|1",FALSE,54.0908
219,"csp_6_2","act1-1","DIPL13","01069","Male",47,"TYPEM4|1",FALSE,42.0094
220,"csp_7_7","act2-1","DIPL3","01071","Female",70,"TYPEM4|4",FALSE,68.4558
221,"csp_4_8","act1-1","DIPL2","01071","Male",57,"TYPEM4|1",FALSE,58.0909
228,"csp_8_4","act2-2","DIPL18","01074","Female",25,"TYPEM2|0",TRUE,39.6539
229,"csp_8_6","act2-1","DIPL2","01075","Female",75,"TYPEM4|4",FALSE,76.0942
230,"csp_7_5","act2-1","DIPL17","01078","Female",83,"TYPEM4|4",FALSE,72.618
231,"csp_7_4","act2-1","DIPL12","01078","Male",69,"TYPEM4|3",FALSE,65.9596
234,"csp_7_7","act2-1","DIPL13","01081","Female",74,"TYPEM4|4",FALSE,68.284
235,"csp_6_7","act1-1","DIPL12","01081","Male",42,"TYPEM1|1",FALSE,52.6379
236,"csp_6_2","act1-1","DIPL12","01081","Male",23,"TYPEM1|1",TRUE,26.7378
237,"csp_6_2","act1-1","DIPL13","01083","Male",43,"TYPEM4|1",FALSE,49.1129
238,"csp_7_8","act2-1","DIPL13","01084","Male",76,"TYPEM1|1",FALSE,62.7965
239,"csp_6_2","act1-1","DIPL3","01087","Male",52,"TYPEM4|1",FALSE,49.5086
240,"csp_7_7","act2-1","DIPL2","01088","Female",76,"TYPEM4|2",FALSE,75.1128
241,"csp_6_3","act1-1","DIPL15","01088","Female",21,"TYPEM3|1",FALSE,49.2569
243,"csp_7_5","act2-1","DIPL16","01089","Female",67,"TYPEM4|4",FALSE,66.7576
244,"csp_8_1","act1-2","DIPL14","01089","Female",21,"TYPEM2|0",TRUE,46.8715
246,"csp_5_4","act1-2","DIPL14","01089","Female",58,"TYPEM4|2",FALSE,62.4076
250,"csp_7_7","act2-1","DIPL14","01091","Male",58,"TYPEM4|3",FALSE,56.5747
251,"csp_4_2","act1-1","DIPL3","01091","Female",49,"TYPEM4|1",FALSE,61.1208
252,"csp_3_4","act1-1","DIPL18","01091","Male",44,"TYPEM4|1",FALSE,52.5884
253,"csp_6_8","act1-1","DIPL3","01091","Male",50,"TYPEM1|1",FALSE,44.1298
254,"csp_4_2","act1-1","DIPL11","01091","Female",59,"TYPEM1|2",FALSE,57.4504
255,"csp_5_6","act1-1","DIPL17","01091","Male",59,"TYPEM4|1",FALSE,51.9836
257,"csp_5_6","act1-2","DIPL13","01091","Female",29,"TYPEM3|2",FALSE,56.6106
259,"csp_4_3","act1-1","DIPL17","01092","Female",25,"TYPEM4|1",FALSE,60.1083
262,"csp_8_4","act2-2","DIPL14","01092","Male",21,"TYPEM4|2",TRUE,39.1558
264,"csp_7_5","act2-1","DIPL19","01093","Male",83,"TYPEM1|1",FALSE,69.9467
266,"csp_6_2","act1-1","DIPL13","01093","Male",47,"TYPEM4|1",FALSE,38.1318
267,"csp_7_5","act2-1","DIPL16","01093","Female",70,"TYPEM1|2",FALSE,68.7453
271,"csp_6_3","act1-1","DIPL3","01094","Male",58,"TYPEM1|1",FALSE,46.9281
272,"csp_8_4","act2-2","DIPL3","01094","Male",15,"TYPEM4|1",TRUE,45.3889
273,"csp_7_7","act2-1","DIPL13","01095","Female",59,"TYPEM4|4",FALSE,64.719
280,"csp_2_2","act1-1","DIPL18","01103","Male",44,"TYPEM4|2",FALSE,29.5066
283,"csp_8_5","act2-5","DIPL17","01104","Male",21,"TYPEM4|1",TRUE,52.3637
284,"csp_8_4","act2-2","DIPL12","01104","Female",16,"TYPEM3|2",TRUE,55.1925
285,"csp_3_7","act1-1","DIPL15","01104","Male",31,"TYPEM4|1",FALSE,43.4976
286,"csp_7_7","act2-1","DIPL13","01105","Female",72,"TYPEM4|4",FALSE,66.6812
289,"csp_3_3","act1-1","DIPL17","01109","Female",30,"TYPEM4|1",FALSE,39.7617
294,"csp_7_7","act2-1","DIPL13","01115","Female",90,"TYPEM1|2",FALSE,74.1986
295,"csp_6_9","act1-2","DIPL3","01116","Female",51,"TYPEM4|4",FALSE,61.2713
298,"csp_8_5","act2-5","DIPL13","01123","Male",50,"TYPEM4|4",FALSE,56.7536
299,"csp_8_5","act2-5","DIPL2","01124","Female",53,"TYPEM4|4",FALSE,72.4527
304,"csp_8_6","act2-5","DIPL3","01134","Male",66,"TYPEM4|3",FALSE,66.5661
305,"csp_4_7","act1-1","DIPL16","01134","Male",22,"TYPEM1|1",FALSE,43.8984
307,"csp_7_7","act2-1","DIPL13","01135","Female",60,"TYPEM4|4",FALSE,63.4811
308,"csp_7_7","act2-1","DIPL11","01135","Female",82,"TYPEM1|2",FALSE,76.5612
310,"csp_2_1","act1-1","DIPL15","01136","Male",42,"TYPEM4|1",FALSE,48.3373
313,"csp_6_8","act1-1","DIPL2","01139","Male",17,"TYPEM4|4",TRUE,26.8522
316,"csp_6_2","act1-1","DIPL14","01142","Female",40,"TYPEM4|1",FALSE,60.153
317,"csp_7_8","act2-1","DIPL11","01142","Female",72,"TYPEM1|2",FALSE,71.8833
318,"csp_3_7","act1-2","DIPL18","01142","Female",35,"TYPEM4|2",FALSE,52.8556
320,"csp_5_2","act1-1","DIPL14","01142","Female",30,"TYPEM4|1",FALSE,52.4546
321,"csp_3_7","act1-2","DIPL16","01142","Female",46,"TYPEM4|2",FALSE,51.5425
325,"csp_6_5","act1-1","DIPL2","01143","Male",54,"TYPEM4|1",FALSE,48.4391
326,"csp_7_7","act2-1","DIPL14","01143","Male",68,"TYPEM4|4",FALSE,57.6416
329,"csp_5_5","act1-1","DIPL11","01143","Female",60,"TYPEM4|1",FALSE,68.3649
331,"csp_5_2","act1-1","DIPL13","01144","Male",34,"TYPEM4|1",FALSE,47.8095
332,"csp_5_2","act1-1","DIPL13","01145","Male",55,"TYPEM4|1",FALSE,48.6624
333,"csp_8_5","act2-5","DIPL3","01148","Female",48,"TYPEM4|2",FALSE,67.5086
335,"csp_5_6","act1-1","DIPL16","01148","Female",32,"TYPEM4|1",FALSE,54.4175
340,"csp_6_3","act1-2","DIPL13","01150","Male",20,"TYPEM4|3",FALSE,38.2672
341,"csp_7_4","act2-1","DIPL16","01151","Female",72,"TYPEM1|2",FALSE,71.6988
345,"csp_7_5","act2-1","DIPL14","01153","Female",88,"TYPEM1|2",FALSE,79.1503
346,"csp_2_1","act1-1","DIPL15","01153","Male",48,"TYPEM4|2",FALSE,44.6287
347,"csp_7_1","act2-1","DIPL11","01153","Female",82,"TYPEM4|4",FALSE,72.7899
350,"csp_7_8","act2-1","DIPL2","01153","Female",82,"TYPEM4|4",FALSE,78.5743
352,"csp_7_5","act2-1","DIPL17","01154","Female",65,"TYPEM4|4",FALSE,66.8695
353,"csp_7_8","act2-1","DIPL13","01154","Male",70,"TYPEM4|3",FALSE,53.8427
354,"csp_8_4","act2-2","DIPL14","01154","Female",19,"TYPEM3|2",TRUE,49.0085
355,"csp_5_4","act1-1","DIPL14","01156","Female",54,"TYPEM4|1",FALSE,62.4175
358,"csp_8_5","act2-4","DIPL3","01157","Female",38,"TYPEM4|2",FALSE,65.8161
359,"csp_6_8","act1-1","DIPL2","01158","Male",34,"TYPEM4|2",FALSE,29.6319
364,"csp_3_8","act1-1","DIPL17","01159","Male",41,"TYPEM4|1",FALSE,40.5519
365,"csp_6_7","act1-1","DIPL3","01159","Male",36,"TYPEM4|1",FALSE,45.1237
368,"csp_7_5","act2-1","DIPL18","01160","Male",78,"TYPEM4|4",FALSE,62.5919
373,"csp_5_4","act1-1","DIPL14","01160","Female",25,"TYPEM4|1",FALSE,58.4219
377,"csp_4_6","act1-1","DIPL15","01160","Female",52,"TYPEM4|1",FALSE,59.5912
378,"csp_6_5","act1-1","DIPL3","01163","Male",24,"TYPEM2|0",FALSE,29.6821
382,"csp_2_3","act1-1","DIPL13","01163","Female",48,"TYPEM4|1",FALSE,54.1603
383,"csp_5_4","act1-1","DIPL18","01165","Female",35,"TYPEM4|1",FALSE,53.2013
387,"csp_7_7","act2-1","DIPL12","01166","Female",91,"TYPEM1|2",FALSE,80.4319
388,"csp_2_1","act1-1","DIPL13","01166","Male",52,"TYPEM4|1",FALSE,55.0503
389,"csp_6_8","act1-1","DIPL13","01166","Male",32,"TYPEM4|1",FALSE,39.3845
390,"csp_7_7","act2-1","DIPL13","01170","Male",59,"TYPEM4|4",FALSE,55.2347
391,"csp_8_4","act2-2","DIPL3","01171","Male",17,"TYPEM2|0",TRUE,34.5336
393,"csp_4_3","act1-1","DIPL16","01173","Female",54,"TYPEM4|1",FALSE,60.1022
394,"csp_7_8","act2-1","DIPL11","01173","Female",78,"TYPEM1|2",FALSE,74.6679
395,"csp_7_5","act2-1","DIPL13","01173","Male",60,"TYPEM4|3",FALSE,61.8434
396,"csp_5_6","act1-1","DIPL13","01173","Female",48,"TYPEM4|1",FALSE,64.7696
398,"csp_7_1","act2-1","DIPL13","01173","Male",72,"TYPEM4|4",FALSE,64.3948
399,"csp_5_2","act1-1","DIPL12","01173","Male",52,"TYPEM3|2",FALSE,61.2716
404,"csp_8_4","act2-2","DIPL12","01179","Female",16,"TYPEM3|2",TRUE,55.1315
406,"csp_7_7","act2-1","DIPL12","01179","Male",73,"TYPEM2|0",FALSE,52.4447
407,"csp_2_1","act1-2","DIPL14","01179","Female",52,"TYPEM1|2",FALSE,73.0617
410,"csp_6_3","act1-1","DIPL13","01180","Female",55,"TYPEM4|1",FALSE,59.9588
411,"csp_7_2","act2-1","DIPL13","01180","Male",69,"TYPEM4|4",FALSE,59.2958
414,"csp_7_7","act2-1","DIPL13","01185","Female",72,"TYPEM4|4",FALSE,66.1392
415,"csp_7_8","act2-1","DIPL13","01185","Male",60,"TYPEM4|3",FALSE,53.9267
417,"csp_4_6","act1-1","DIPL14","01185","Male",62,"TYPEM4|1",FALSE,49.3088
418,"csp_6_7","act1-1","DIPL2","01185","Female",61,"TYPEM4|1",FALSE,50.0647
419,"csp_5_4","act1-1","DIPL13","01185","Female",54,"TYPEM4|1",FALSE,62.1646
421,"csp_8_5","act2-4","DIPL11","01190","Female",57,"TYPEM4|2",FALSE,68.6274
424,"csp_5_4","act1-1","DIPL3","01194","Female",20,"TYPEM4|1",FALSE,47.6518
427,"csp_7_8","act2-1","DIPL1","01194","Female",70,"TYPEM1|2",FALSE,69.5492
428,"csp_4_3","act1-1","DIPL16","01194","Female",54,"TYPEM4|1",FALSE,55.9131
430,"csp_7_8","act2-1","DIPL11","01194","Male",67,"TYPEM1|1",FALSE,60.6525
431,"csp_1_1","act1-1","DIPL3","01194","Male",22,"TYPEM4|1",FALSE,44.2913
436,"csp_7_7","act2-1","DIPL12","01194","Female",81,"TYPEM1|2",FALSE,80.5246
439,"csp_6_2","act1-2","DIPL13","01194","Male",60,"TYPEM4|3",FALSE,49.2333
440,"csp_6_2","act1-1","DIPL13","01194","Male",47,"TYPEM4|1",FALSE,41.0941
441,"csp_7_8","act2-1","DIPL1","01194","Male",73,"TYPEM1|1",FALSE,62.1947
444,"csp_6_7","act1-1","DIPL3","01195","Female",59,"TYPEM4|1",FALSE,63.6072
447,"csp_8_4","act2-2","DIPL12","01196","Male",16,"TYPEM4|2",TRUE,45.3054
448,"csp_8_4","act2-2","DIPL14","01196","Male",21,"TYPEM1|1",TRUE,43.822
449,"csp_3_8","act1-1","DIPL19","01196","Male",40,"TYPEM4|1",FALSE,47.7236
450,"csp_8_6","act2-4","DIPL1","01197","Female",65,"TYPEM3|2",FALSE,67.9757
451,"csp_4_2","act1-1","DIPL12","01199","Female",61,"TYPEM4|3",FALSE,60.0786
452,"csp_7_4","act2-1","DIPL17","01199","Female",63,"TYPEM2|0",FALSE,63.5654
453,"csp_8_5","act2-5","DIPL18","01199","Male",27,"TYPEM4|2",FALSE,48.0649
455,"csp_8_5","act2-4","DIPL18","01199","Female",36,"TYPEM4|2",FALSE,65.75
457,"csp_1_1","act1-1","DIPL13","01200","Female",35,"TYPEM4|1",FALSE,60.9607
458,"csp_7_4","act2-1","DIPL18","01200","Male",93,"TYPEM3|1",FALSE,55.681
459,"csp_7_5","act2-1","DIPL13","01200","Male",72,"TYPEM1|1",FALSE,63.3786
466,"csp_8_4","act2-2","DIPL12","01202","Male",15,"TYPEM4|1",TRUE,49.6844
467,"csp_7_7","act2-1","DIPL11","01202","Male",74,"TYPEM4|4",FALSE,59.3641
471,"csp_5_4","act1-1","DIPL16","01202","Female",47,"TYPEM4|1",FALSE,50.8172
472,"csp_7_5","act2-1","DIPL16","01202","Male",66,"TYPEM4|3",FALSE,55.7502
473,"csp_3_4","act1-1","DIPL18","01202","Male",55,"TYPEM4|1",FALSE,48.599
478,"csp_8_6","act2-4","DIPL14","01204","Female",79,"TYPEM4|4",FALSE,78.956
479,"csp_5_4","act1-1","DIPL14","01204","Female",47,"TYPEM4|1",FALSE,53.1751
480,"csp_7_7","act2-1","DIPL13","01205","Female",76,"TYPEM1|2",FALSE,73.5253
483,"csp_7_1","act2-1","DIPL2","01205","Male",65,"TYPEM4|4",FALSE,66.1513
484,"csp_8_4","act2-2","DIPL3","01213","Male",15,"TYPEM4|1",TRUE,45.4272
485,"csp_7_8","act2-1","DIPL1","01213","Male",74,"TYPEM4|4",FALSE,61.4344
490,"csp_7_8","act2-1","DIPL11","01216","Female",90,"TYPEM1|2",FALSE,74.4399
491,"csp_5_4","act1-1","DIPL12","01224","Female",66,"TYPEM4|3",FALSE,53.6425
492,"csp_7_8","act2-1","DIPL13","01224","Male",66,"TYPEM4|3",FALSE,55.0939
496,"csp_7_5","act2-1","DIPL16","01225","Female",76,"TYPEM1|2",FALSE,72.0873
499,"csp_6_8","act1-1","DIPL11","01229","Female",58,"TYPEM4|1",FALSE,56.6009
501,"csp_3_1","act1-1","DIPL18","01231","Female",48,"TYPEM3|2",FALSE,62.5243
503,"csp_7_5","act2-1","DIPL14","01231","Female",81,"TYPEM4|4",FALSE,75.4248
504,"csp_1_1","act1-1","DIPL13","01232","Male",46,"TYPEM4|1",FALSE,52.3353
505,"csp_7_7","act2-1","DIPL2","01232","Male",73,"TYPEM4|4",FALSE,68.4831
506,"csp_7_7","act2-1","DIPL13","01232","Male",62,"TYPEM4|3",FALSE,54.0659
507,"csp_6_2","act1-2","DIPL1","01235","Female",57,"TYPEM3|2",FALSE,59.4884
508,"csp_7_7","act2-1","DIPL11","01235","Female",79,"TYPEM3|2",FALSE,73.0417
510,"csp_3_4","act1-1","DIPL19","01237","Male",57,"TYPEM4|1",FALSE,41.0431
511,"csp_6_3","act1-2","DIPL14","01238","Male",41,"TYPEM4|3",FALSE,52.138
512,"csp_7_5","act2-1","DIPL13","01238","Female",67,"TYPEM1|2",FALSE,72.1553
514,"csp_4_6","act1-1","DIPL17","01238","Female",36,"TYPEM4|1",FALSE,54.8252
516,"csp_2_2","act1-1","DIPL15","01239","Female",39,"TYPEM4|1",FALSE,43.7642
517,"csp_8_5","act2-5","DIPL1","01239","Male",17,"TYPEM3|2",TRUE,51.7636
519,"csp_7_8","act2-1","DIPL13","01240","Male",66,"TYPEM4|3",FALSE,55.7161
520,"csp_8_4","act2-2","DIPL2","01241","Female",15,"TYPEM4|1",TRUE,55.4105
521,"csp_4_7","act1-1","DIPL16","01243","Male",28,"TYPEM1|1",FALSE,39.274
526,"csp_6_3","act1-1","DIPL3","01244","Male",33,"TYPEM4|1",FALSE,49.1378
528,"csp_5_5","act1-1","DIPL16","01244","Male",47,"TYPEM4|1",FALSE,47.4456
530,"csp_8_4","act2-2","DIPL3","01244","Female",17,"TYPEM3|2",TRUE,48.9708
532,"csp_7_7","act2-1","DIPL13","01246","Female",63,"TYPEM4|4",FALSE,63.4788
534,"csp_5_5","act1-1","DIPL17","01246","Female",46,"TYPEM4|1",FALSE,55.5469
535,"csp_7_1","act2-1","DIPL2","01246","Female",89,"TYPEM1|2",FALSE,83.3059
536,"csp_5_6","act1-1","DIPL13","01246","Female",35,"TYPEM4|1",FALSE,55.5916
537,"csp_6_2","act1-1","DIPL15","01246","Male",26,"TYPEM1|1",FALSE,35.4255
539,"csp_3_8","act1-1","DIPL13","01247","Male",55,"TYPEM1|1",FALSE,43.7734
541,"csp_7_8","act2-1","DIPL1","01248","Female",66,"TYPEM4|4",FALSE,65.7872
544,"csp_7_8","act2-1","DIPL2","01249","Female",62,"TYPEM4|2",FALSE,70.83
546,"csp_3_7","act1-1","DIPL18","01249","Male",54,"TYPEM4|1",FALSE,48.5281
549,"csp_3_7","act1-1","DIPL14","01249","Male",50,"TYPEM4|2",FALSE,41.4286
553,"csp_8_4","act2-2","DIPL14","01249","Female",19,"TYPEM3|2",TRUE,48.958
558,"csp_6_7","act1-2","DIPL13","01249","Male",24,"TYPEM3|1",FALSE,31.0862
559,"csp_7_8","act2-1","DIPL13","01250","Male",67,"TYPEM4|1",FALSE,61.1647
560,"csp_7_8","act2-1","DIPL14","01250","Male",73,"TYPEM4|4",FALSE,58.8005
561,"csp_5_2","act1-2","DIPL15","01252","Female",35,"TYPEM4|2",FALSE,52.1033
