"UNIQUE_ID","work_description","WORK_CONDITION","activity_sector","job_category","Employer_type","job_dep","TERMS_OF_EMP","pay","Employee_count","working_hours"
816,"625g","C","CA","O","ct_9","01","CDI",22217,"tr_2",2158
821,"684a","P","NZ","O","ct_6","01","CDI",9112,"tr_2",1077
825,"531c","C","OZ","O","ct_1","69","AUT",27676,"tr_4",1820
832,"461d","P","IZ","O","ct_9","01","CDI",4341,"tr_3",317
840,"434b","P","QB","O","ct_8","01","CDI",11660,"tr_2",1079
841,"423b","C","SZ","O","ct_4","71","CDI",24880,"tr_5",1949
842,"621d","C","FZ","O","ct_9","69","CDI",22797,"tr_6",1602
847,"543b","P","GZ","O","ct_9","01","CDI",29120,"tr_2",2370
851,"477c","C","GZ","O","ct_9","69","CDI",19372,"tr_3",1815
852,"628a","C","CB","O","ct_9","71","CDI",18936,"tr_3",1672
856,"673c","C","CM","O","ct_9","69","CDI",15091,"tr_5",1283
859,"477b","C","FZ","X","ct_9","01","AUT",13100,"tr_5",1840
867,"675b","C","CM","O","ct_9","01","CDI",18830,"tr_4",1824
871,"651a","C","HZ","O","ct_9","69","CDI",16994,"tr_0",1915
872,"681a","C","FZ","O","ct_9","69","CDI",18139,"tr_1",2068
874,"372a","C","CE","O","ct_9","01","CDI",73342,"tr_4",2200
875,"525d","C","QA","O","ct_9","01","CDI",6536,"tr_4",613
877,"676e","C","CG","O","ct_9","01","CDI",16049,"tr_3",1940
880,"525d","P","QB","O","ct_8","71","CDI",11317,"tr_4",1208
887,"467b","C","KZ","O","ct_9","69","CDI",27671,"tr_5",1990
888,"684a","P","NZ","O","ct_9","71","CDI",1647,"tr_6",224
895,"474b","C","CK","O","ct_9","01","CDI",24774,"tr_6",1653
901,"431b","C","QA","O","ct_8","01","CDI",9673,"tr_6",1820
912,"552a","C","GZ","O","ct_9","01","CDI",14437,"tr_1",1398
916,"462e","C","LZ","O","ct_9","69","CDI",19761,"tr_1",1668
917,"543f","C","EZ","O","ct_9","01","CDI",27662,"tr_2",1824
918,"543f","C","GZ","A","ct_9","69","APP",11596,"tr_1",1681
921,"632a","C","FZ","O","ct_9","01","CDI",27166,"tr_1",1935
932,"641a","C","BZ","O","ct_9","39","CDD",11437,"tr_1",1311
934,"553b","C","GZ","O","ct_9","69","CDI",16147,"tr_5",1812
941,"674a","C","CG","O","ct_9","01","CDI",15497,"tr_5",1829
943,"341a","C","PZ","O","ct_8","01","CDI",18417,"tr_4",1820
945,"532c","C","OZ","O","ct_1","01","AUT",31650,"tr_6",1824
947,"676e","P","NZ","O","ct_9","01","TTP",11245,"tr_5",531
952,"525d","C","QB","O","ct_9","02","CDI",13316,"tr_4",1379
953,"431f","C","QA","O","ct_8","02","CDI",21766,"tr_1",1815
955,"431f","C","QB","O","ct_3","51","CDI",29490,"tr_5",1885
966,"563c","C","TZ","O","ct_7","02","CDI",16205,"tr_1",1355
967,"673a","C","CH","O","ct_6","02","CDI",14209,"tr_2",1127
968,"682a","C","GZ","O","ct_9","59","CDI",17876,"tr_3",1976
969,"634d","C","FZ","O","ct_9","62","CDI",23741,"tr_4",1827
973,"637d","C","SZ","O","ct_6","02","CDI",5895,"tr_1",591
979,"564b","C","QB","O","ct_8","51","CDI",18278,"tr_3",1823
985,"563c","C","TZ","O","ct_7","02","CDI",1057,"tr_1",112
986,"684b","C","EZ","O","ct_9","60","CDI",18946,"tr_4",1840
992,"653a","C","CA","O","ct_9","02","CDI",14823,"tr_5",1826
1005,"552a","C","GZ","O","ct_9","02","CDI",16513,"tr_3",1894
1009,"373d","C","GZ","O","ct_9","77","CDI",45560,"tr_1",2028
1037,"474a","C","CH","O","ct_9","02","CDI",24764,"tr_2",2064
1038,"526a","P","QA","O","ct_9","02","CDI",9191,"tr_6",895
1041,"563a","D","QB","O","ct_7","02","CDI",12782,"tr_1",3000
1059,"621c","C","FZ","O","ct_9","02","CDI",11243,"tr_4",854
1067,"434b","C","OZ","O","ct_4","02","CDI",51075,"tr_4",3000
1068,"542a","C","KZ","O","ct_9","02","CDI",19989,"tr_1",1820
1090,"543b","C","MA","O","ct_9","94","CDI",18602,"tr_1",1827
1095,"676a","C","CH","O","ct_9","02","CDI",12595,"tr_2",1820
1096,"636d","C","IZ","O","ct_9","02","CDI",19838,"tr_3",2041
1107,"643a","C","HZ","O","ct_9","02","CDD",4551,"tr_5",292
1115,"625f","C","CA","O","ct_9","02","CDI",25623,"tr_6",1764
1119,"676e","P","NZ","O","ct_9","02","TTP",18907,"tr_5",521
1124,"674d","C","CH","X","ct_9","02","AUT",10230,"tr_5",583
1125,"685a","C","GZ","A","ct_9","02","APP",8925,"tr_1",1820
1126,"681a","C","FZ","O","ct_6","02","CDI",13327,"tr_1",1213
1136,"625g","C","IZ","O","ct_9","75","CDI",19812,"tr_3",1795
1143,"684a","C","NZ","O","ct_6","02","CDI",21289,"tr_1",1820
1154,"534a","P","NZ","O","ct_9","59","CDI",9824,"tr_6",1311
1160,"526d","C","QB","O","ct_8","02","CDI",9229,"tr_4",1198
1162,"621d","C","CA","O","ct_9","02","CDI",38603,"tr_5",1945
1173,"676c","C","CH","O","ct_9","02","CDI",22973,"tr_6",1647
1179,"563a","C","QA","O","ct_2","77","AUT",25628,"tr_6",1820
1180,"641a","C","HZ","O","ct_9","02","CDI",20481,"tr_6",2410
1186,"643a","K","GZ","O","ct_9","59","CDD",13277,"tr_4",337
1191,"621b","C","FZ","O","ct_9","92","CDI",37401,"tr_1",1754
1208,"673c","C","CK","O","ct_9","02","CDI",19738,"tr_3",1902
1217,"674d","C","CH","O","ct_9","59","CDI",28907,"tr_4",1517
1221,"676e","C","QB","O","ct_8","02","AUT",7596,"tr_5",1820
1226,"641a","C","HZ","O","ct_9","22","CDI",19075,"tr_6",2232
1230,"621e","C","FZ","O","ct_9","02","CDI",13011,"tr_5",1835
1235,"554a","C","GZ","A","ct_9","02","APP",12947,"tr_1",1540
1238,"481b","C","FZ","O","ct_9","62","CDI",20435,"tr_5",1218
1243,"451a","C","HZ","O","ct_9","02","CDI",18239,"tr_5",1821
1251,"624c","C","CK","O","ct_9","02","CDI",29444,"tr_1",2200
1253,"563b","C","QB","O","ct_2","51","AUT",19180,"tr_5",1824
1266,"636a","C","GZ","O","ct_9","02","CDI",22359,"tr_6",1911
1269,"676a","C","NZ","O","ct_8","02","CDD",11879,"tr_4",1371
1283,"477b","C","CG","O","ct_9","02","CDI",25313,"tr_5",1889
1286,"684a","P","NZ","O","ct_9","02","CDI",8468,"tr_4",1244
1289,"543b","C","MA","O","ct_9","02","CDI",21614,"tr_1",1806
1294,"421b","C","QB","O","ct_8","02","CDI",23938,"tr_1",2320
1301,"524c","P","OZ","X","ct_2","02","AUT",3986,"tr_5",464
1310,"562a","P","SZ","O","ct_6","02","CDI",5045,"tr_1",530
1314,"563a","D","QB","O","ct_7","02","CDI",10370,"tr_1",3000
1329,"422b","C","PZ","O","ct_1","02","AUT",29208,"tr_5",1872
1334,"632j","C","FZ","X","ct_9","51","AUT",21882,"tr_3",2028
1336,"632k","C","SZ","O","ct_8","02","CDI",8422,"tr_3",1397
1337,"652a","C","HZ","O","ct_9","02","CDI",19734,"tr_6",1806
1339,"681a","C","NZ","O","ct_9","60","TTP",20274,"tr_2",1981
1342,"526e","C","QA","O","ct_9","02","CDI",12738,"tr_4",881
1344,"554e","C","GZ","O","ct_9","02","CDI",14122,"tr_2",1804
1346,"676a","C","NZ","O","ct_9","02","CDD",13760,"tr_3",1203
1363,"423a","C","PZ","O","ct_6","02","CDI",14621,"tr_0",690
1364,"484a","C","CL","O","ct_9","60","CDI",10393,"tr_5",680
1365,"431f","C","QA","O","ct_9","02","CDI",16984,"tr_6",1892
1388,"561b","C","IZ","O","ct_9","02","CDD",12284,"tr_1",195
1392,"552a","P","GZ","O","ct_9","02","CDI",13649,"tr_1",1285
1393,"463b","C","GZ","O","ct_9","60","CDI",27478,"tr_3",NA
1395,"525d","P","QB","O","ct_9","02","CDI",14371,"tr_4",1057
1398,"632a","C","FZ","O","ct_9","02","CDI",14913,"tr_3",1660
1401,"466c","C","HZ","O","ct_9","92","CDI",29288,"tr_5",1312
1405,"621f","P","QB","O","ct_2","02","CDD",11865,"tr_4",1168
1414,"671c","P","NZ","O","ct_9","02","TTP",1525,"tr_2",214
1415,"342b","C","PZ","O","ct_4","75","CDI",24866,"tr_6",1176
1418,"344d","P","GZ","O","ct_9","02","CDI",34286,"tr_1",1605
1425,"477d","C","EZ","O","ct_9","77","CDI",29088,"tr_4",1562
1433,"462e","C","LZ","O","ct_9","02","CDI",20732,"tr_6",1820
1436,"625b","C","CA","O","ct_9","02","CDI",31416,"tr_5",1363
1437,"563b","F","QB","O","ct_7","02","CDI",3636,"tr_1",407
1442,"641b","C","HZ","O","ct_5","75","CDI",29791,"tr_6",1824
1455,"621f","C","OZ","O","ct_2","02","AUT",18974,"tr_6",1820
1463,"561c","C","GZ","O","ct_9","02","CDI",16272,"tr_6",1721
1475,"676e","C","CL","O","ct_9","95","CDI",28337,"tr_5",1722
1476,"552a","C","GZ","O","ct_9","02","CDI",18047,"tr_1",1832
1481,"562a","C","GZ","O","ct_9","02","CDI",14345,"tr_1",1878
1485,"684a","P","NZ","O","ct_9","77","CDI",10185,"tr_1",1248
1497,"372c","C","NZ","O","ct_9","02","CDI",18864,"tr_1",1820
1498,"545b","C","KZ","O","ct_9","59","CDI",25696,"tr_1",1820
1503,"341a","C","PZ","O","ct_1","02","AUT",26436,"tr_3",1517
1504,"673c","C","CJ","O","ct_9","02","CDI",21229,"tr_5",1831
1511,"672a","C","CJ","O","ct_9","02","CDD",16631,"tr_3",1868
1513,"463c","C","MA","O","ct_9","92","CDI",30968,"tr_6",1827
1518,"628g","C","CH","O","ct_9","02","CDI",21868,"tr_5",1938
1519,"526a","C","QA","O","ct_8","02","CDI",19985,"tr_6",1709
1523,"475a","C","CI","O","ct_9","75","CDI",23941,"tr_4",1456
1538,"526d","C","QB","O","ct_8","60","CDI",19248,"tr_3",1826
1540,"431f","C","QA","O","ct_8","02","CDI",20841,"tr_1",1815
1545,"643a","C","GZ","O","ct_9","02","CDI",15150,"tr_1",1778
1548,"385b","Y","CE","O","ct_9","02","AUT",6330,"tr_5",24
1551,"474b","C","CK","O","ct_9","02","CDI",32996,"tr_5",2200
1561,"385a","P","CF","O","ct_9","92","CDI",22691,"tr_4",899
1563,"374d","C","CH","O","ct_9","80","CDI",57920,"tr_5",1924
1572,"561f","C","IZ","O","ct_9","17","CDD",15425,"tr_0",1129
1573,"563b","P","QB","O","ct_2","02","CDI",7401,"tr_5",832
1580,"542a","C","QA","O","ct_9","02","CDI",18148,"tr_1",1666
1592,"525d","C","QB","O","ct_8","02","CDI",8105,"tr_3",1147
1593,"478c","C","CA","O","ct_9","02","CDI",44547,"tr_6",1827
1596,"634d","C","NZ","O","ct_9","02","CDI",10940,"tr_1",947
1598,"526e","C","QA","O","ct_9","02","CDI",14168,"tr_3",1868
1600,"551a","C","GZ","O","ct_9","02","CDI",13515,"tr_6",1392
1607,"628a","C","CM","O","ct_9","93","CDI",18540,"tr_5",999
1608,"628a","C","CA","O","ct_9","80","CDI",29694,"tr_5",2070
1615,"462e","C","GZ","O","ct_9","02","CDI",21466,"tr_4",2025
1627,"621a","C","NZ","O","ct_9","51","TTP",17951,"tr_2",1560
1632,"635a","C","SZ","O","ct_9","51","CDI",28192,"tr_1",2200
1634,"543b","C","CE","O","ct_9","02","CDI",26482,"tr_6",1971
1641,"684a","P","NZ","O","ct_9","51","CDI",7483,"tr_4",620
1653,"681a","C","FZ","A","ct_6","02","APP",10692,"tr_1",1900
1654,"543b","P","MA","O","ct_9","02","CDI",19759,"tr_1",1805
1655,"341a","C","PZ","O","ct_8","02","CDI",46263,"tr_4",1820
1662,"676c","P","QB","X","ct_8","02","CDI",1718,"tr_6",1092
1673,"477c","C","GZ","O","ct_9","02","CDI",23157,"tr_2",1378
1683,"388a","C","JB","O","ct_9","02","AUT",26590,"tr_4",1456
1686,"467a","C","KZ","O","ct_9","02","CDI",30672,"tr_1",1820
1689,"526c","C","OZ","O","ct_2","02","CDI",4466,"tr_4",535
1693,"564b","C","SZ","O","ct_9","02","CDI",19440,"tr_1",1822
1694,"387f","C","EZ","O","ct_9","02","CDI",33834,"tr_3",1950
1699,"526e","C","QA","O","ct_9","02","CDI",19024,"tr_4",2145
1701,"525d","P","QB","O","ct_9","02","CDI",7612,"tr_4",1054
1722,"389a","C","HZ","O","ct_9","95","CDI",53832,"tr_6",1820
1737,"543g","C","GZ","O","ct_9","95","CDI",20263,"tr_6",1820
1759,"462e","C","GZ","O","ct_9","54","CDI",46800,"tr_3",1820
1764,"423b","C","PZ","O","ct_1","02","CDI",23738,"tr_5",1922
1768,"534a","C","GZ","O","ct_9","02","CDI",16064,"tr_6",1916
1770,"546c","C","HZ","O","ct_9","93","CDI",25735,"tr_6",1870
1776,"632f","C","FZ","O","ct_9","60","CDI",20142,"tr_2",1849
1778,"434d","P","QB","O","ct_8","51","CDI",20804,"tr_4",1819
1780,"563b","C","SZ","O","ct_9","02","CDI",14478,"tr_2",1695
1801,"681a","C","FZ","O","ct_6","03","CDI",19132,"tr_1",2060
1804,"431f","F","SZ","O","ct_8","79","CDI",5220,"tr_5",438
1805,"434d","C","QB","O","ct_8","03","CDI",18970,"tr_3",1820
1812,"463e","C","GZ","O","ct_9","03","CDI",39615,"tr_3",1820
1824,"341a","C","PZ","O","ct_8","03","CDI",26876,"tr_2",1820
1828,"467a","C","KZ","O","ct_9","03","CDI",28703,"tr_1",1819
1829,"461b","C","RZ","O","ct_8","03","CDI",22333,"tr_1",1842
1840,"481a","C","FZ","O","ct_6","03","CDI",34225,"tr_1",1603
1841,"521a","C","HZ","O","ct_9","63","CDI",21280,"tr_6",1854
1851,"543b","C","NZ","A","ct_8","03","APP",6045,"tr_1",1820
1854,"467c","P","KZ","O","ct_8","75","CDI",22481,"tr_5",1577
1861,"621c","C","FZ","O","ct_9","03","CDI",21468,"tr_1",1842
1862,"423b","P","OZ","O","ct_2","71","CDD",11484,"tr_5",1345
1867,"479b","C","CM","O","ct_9","03","CDI",20714,"tr_4",1807
1870,"461d","C","MA","O","ct_9","03","CDI",32793,"tr_3",1932
1890,"545c","C","KZ","O","ct_6","03","CDI",17542,"tr_1",1820
1895,"561d","C","IZ","A","ct_9","03","APP",10098,"tr_3",1800
1897,"372a","P","MA","O","ct_9","02","CDI",34387,"tr_3",1298
1904,"534a","C","NZ","O","ct_9","63","CDI",16600,"tr_5",1870
1907,"562b","P","SZ","O","ct_6","03","CDI",4555,"tr_1",454
1908,"561d","C","IZ","O","ct_9","03","CDI",11478,"tr_2",1419
1911,"561d","P","IZ","O","ct_9","03","CDI",10967,"tr_3",1404
1914,"374a","C","GZ","O","ct_9","03","CDI",23824,"tr_1",1820
1915,"433d","C","GZ","O","ct_9","03","CDI",25467,"tr_1",2028
1917,"681a","C","CG","O","ct_9","03","CDI",7439,"tr_2",1024
1919,"421b","C","PZ","O","ct_8","03","CDI",34235,"tr_3",1820
1921,"526a","P","QA","O","ct_9","03","CDI",12750,"tr_6",1455
1925,"434b","C","SZ","O","ct_8","03","CDI",20852,"tr_1",1812
1928,"525d","C","QA","O","ct_9","03","CDI",14364,"tr_6",1820
1930,"632a","C","FZ","O","ct_9","56","CDI",18824,"tr_2",2022
1932,"676d","C","HZ","O","ct_9","03","CDI",16960,"tr_3",1838
1945,"672a","C","CI","O","ct_9","03","CDI",22742,"tr_6",1820
1946,"526b","C","QB","O","ct_8","03","CDI",25388,"tr_1",1820
1949,"526b","P","QA","O","ct_6","03","CDI",10802,"tr_1",873
1954,"387b","C","GZ","O","ct_9","03","CDI",38171,"tr_4",1787
1957,"628g","C","CM","O","ct_9","03","CDI",13850,"tr_4",NA
1965,"451h","C","QA","O","ct_3","03","AUT",23645,"tr_6",1820
1973,"551a","C","GZ","O","ct_9","03","CDD",6376,"tr_6",331
1993,"526e","C","QA","O","ct_9","03","CDI",16139,"tr_1",1825
1998,"431f","C","QA","O","ct_3","03","AUT",27691,"tr_6",1820
2017,"563b","C","QB","O","ct_8","03","CDD",10575,"tr_4",815
2020,"526a","C","QA","O","ct_3","03","AUT",20090,"tr_6",1820
2050,"474a","C","CL","O","ct_9","03","CDI",32475,"tr_3",2200
2054,"554a","P","GZ","O","ct_6","03","CDI",6761,"tr_1",863
2069,"542a","P","QA","O","ct_6","03","CDI",12746,"tr_1",1456
2073,"643a","P","MC","O","ct_9","03","CDI",11579,"tr_3",1387
2082,"463c","C","GZ","O","ct_9","03","CDI",38297,"tr_3",1820
2096,"546c","C","HZ","O","ct_9","03","CDI",15980,"tr_1",1652
2099,"675b","P","QB","X","ct_8","03","AUT",9166,"tr_3",1126
2102,"563b","P","QB","O","ct_8","03","CDI",13465,"tr_3",1604
2128,"532c","C","OZ","O","ct_1","03","AUT",34095,"tr_5",1824
2129,"526a","F","QB","O","ct_8","03","CDI",7078,"tr_4",593
2131,"431c","P","OZ","O","ct_2","03","AUT",28083,"tr_6",2028
2134,"543g","C","JA","O","ct_9","03","CDI",23815,"tr_1",1830
2138,"526a","P","QB","O","ct_8","03","CDI",9193,"tr_6",1141
